Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Target
47,11.8,4,4.5,4.5,9.65,1,0.92
34,10.7,4,4.0,4.5,8.87,1,0.76
26,10.4,3,3.0,3.5,8.0,1,0.72
32,11.0,3,3.5,2.5,8.67,1,0.8
24,10.3,2,2.0,3.0,8.21,0,0.65
40,11.5,5,4.5,3.0,9.34,1,0.9
31,10.9,3,3.0,4.0,8.2,1,0.75
18,10.1,2,3.0,4.0,7.9,0,0.68
12,10.2,1,2.0,1.5,8.0,0,0.5
33,10.8,3,3.5,3.0,8.6,0,0.45
35,10.6,3,3.5,4.0,8.4,1,0.52
37,11.1,4,4.0,4.5,9.0,1,0.84
38,11.2,4,4.0,4.5,9.1,1,0.78
17,10.9,3,4.0,3.0,8.0,1,0.62
21,10.4,3,3.5,2.0,8.2,1,0.61
24,10.5,3,3.5,2.5,8.3,0,0.54
27,10.7,3,4.0,3.0,8.7,0,0.66
29,10.6,3,4.0,3.0,8.0,1,0.65
28,11.0,3,4.0,3.0,8.8,0,0.63
13,10.2,3,3.5,3.0,8.5,0,0.62
22,10.7,3,3.0,2.0,7.9,1,0.64
35,11.4,4,3.0,2.0,8.4,0,0.7
38,11.6,5,5.0,5.0,9.5,1,0.94
44,11.9,5,5.0,4.5,9.7,1,0.95
46,11.9,5,4.0,3.5,9.8,1,0.97
50,12.0,5,4.5,4.5,9.6,1,0.94
32,10.9,5,4.5,3.5,8.8,0,0.76
8,9.8,2,1.5,2.5,7.5,1,0.44
5,9.3,1,2.0,2.0,7.2,0,0.46
20,9.9,2,1.5,2.0,7.3,0,0.54
10,9.7,2,3.0,3.0,8.1,1,0.65
37,10.3,3,4.0,4.0,8.3,1,0.74
48,11.8,4,3.0,4.5,9.4,1,0.91
50,11.4,5,4.0,4.0,9.6,1,0.9
41,11.2,5,4.0,5.0,9.8,1,0.94
30,11.0,5,5.0,5.0,9.2,1,0.88
9,10.6,2,4.0,4.0,8.4,0,0.64
10,10.5,1,1.0,2.0,7.8,0,0.58
14,10.5,1,3.0,1.5,7.5,0,0.52
17,10.8,2,4.0,3.5,7.7,0,0.48
18,11.0,3,3.5,3.0,8.0,1,0.46
26,10.5,2,2.5,2.5,8.2,1,0.49
23,10.7,2,2.5,2.0,8.5,1,0.53
42,11.7,4,4.5,4.0,9.1,0,0.87
36,11.3,5,4.5,4.0,9.4,1,0.91
32,11.0,5,5.0,4.0,9.1,1,0.88
39,11.4,5,4.0,5.0,9.3,1,0.86
49,11.9,5,4.5,4.0,9.7,0,0.89
31,11.0,3,3.5,5.0,8.85,1,0.82
37,11.1,4,3.0,4.0,8.4,1,0.78
23,9.8,3,2.5,4.5,8.3,1,0.76
22,10.0,2,1.5,3.5,7.9,1,0.56
44,11.6,4,4.0,3.0,8.0,1,0.78
34,11.2,4,4.0,2.5,8.1,1,0.72
32,11.0,3,3.0,3.5,8.0,0,0.7
30,10.3,3,3.0,3.0,7.7,0,0.64
26,10.2,3,2.0,3.0,7.4,0,0.64
8,9.9,2,4.0,2.0,7.6,0,0.46
10,9.9,1,3.0,2.0,6.8,1,0.36
21,10.4,2,2.0,2.0,8.3,0,0.42
19,10.0,2,3.0,3.0,8.1,0,0.48
17,10.1,3,4.0,3.0,8.2,0,0.47
14,10.5,2,3.0,3.0,8.2,1,0.54
25,10.7,2,4.0,3.0,8.5,1,0.56
35,11.1,3,3.0,3.5,8.7,0,0.52
35,11.2,4,3.5,3.5,8.92,0,0.55
37,11.4,3,3.0,3.0,9.02,0,0.61
26,10.7,2,3.5,3.5,8.64,1,0.57
28,10.9,3,3.5,4.0,9.22,1,0.68
38,11.5,4,4.5,4.0,9.16,1,0.78
42,11.8,5,5.0,5.0,9.64,1,0.94
46,11.2,5,5.0,5.0,9.76,1,0.96
31,11.1,5,5.0,5.0,9.45,1,0.93
24,10.8,4,4.5,4.0,9.04,1,0.84
24,10.6,3,3.0,5.0,8.9,0,0.74
39,11.4,2,2.0,4.0,8.56,1,0.72
37,11.2,3,3.0,3.0,8.72,1,0.74
11,9.9,2,3.0,2.0,8.22,0,0.64
6,9.5,2,3.0,2.0,7.54,1,0.44
4,9.3,1,1.5,2.0,7.36,0,0.46
22,10.5,3,2.0,3.0,8.02,1,0.5
50,12.0,4,5.0,5.0,9.5,1,0.96
30,11.0,5,5.0,4.5,9.22,1,0.92
32,11.5,5,4.0,4.5,9.36,1,0.92
50,11.5,5,4.5,4.5,9.45,1,0.94
29,10.3,4,4.5,3.5,8.66,0,0.76
25,10.6,3,4.5,3.5,8.42,0,0.72
27,10.7,2,3.5,3.0,8.28,0,0.66
24,10.8,3,4.5,3.5,8.14,0,0.64
26,10.9,4,4.5,3.5,8.76,1,0.74
28,10.6,2,4.0,4.0,7.92,1,0.64
9,9.7,3,5.0,3.5,7.66,0,0.38
8,9.8,2,4.0,3.0,8.03,0,0.34
11,9.7,2,3.0,3.0,7.88,1,0.44
13,9.9,3,2.0,2.5,7.66,0,0.36
14,10.0,4,1.5,2.5,7.84,0,0.42
16,10.0,2,3.0,3.0,8.0,0,0.48
41,12.0,3,4.0,4.0,8.96,1,0.86
42,11.9,4,5.0,4.5,9.24,1,0.9
33,11.3,3,4.0,4.0,8.88,1,0.79
32,10.7,3,3.5,3.5,8.46,1,0.71
22,10.5,2,2.5,3.0,8.12,0,0.64
24,10.6,2,4.0,3.5,8.25,0,0.62
27,10.4,2,4.5,4.0,8.47,0,0.57
36,11.2,3,3.5,3.0,9.05,1,0.74
26,11.0,3,4.0,4.5,8.78,1,0.69
39,11.1,4,4.5,4.5,9.18,1,0.87
48,11.7,4,3.5,4.5,9.46,1,0.91
41,11.6,5,5.0,5.0,9.38,1,0.93
14,10.3,5,5.0,4.0,8.64,0,0.68
15,10.8,5,3.0,3.0,8.48,0,0.61
31,10.9,4,4.0,4.0,8.68,1,0.69
11,10.7,3,3.5,3.5,8.34,1,0.62
30,11.0,2,4.0,3.5,8.56,0,0.72
21,10.5,3,3.5,3.0,8.45,1,0.59
20,10.6,4,4.5,4.5,9.04,1,0.66
9,10.2,3,4.0,3.5,8.62,0,0.56
0,10.4,4,2.0,2.5,7.46,0,0.45
6,9.9,2,3.0,3.5,7.28,0,0.47
37,10.4,5,3.0,3.5,8.84,1,0.71
45,11.7,5,5.0,5.0,9.56,1,0.94
44,11.9,5,4.5,4.5,9.48,1,0.94
20,10.6,4,1.5,2.5,8.36,0,0.57
18,10.8,3,3.5,3.5,8.22,0,0.61
11,10.6,4,2.5,3.0,8.47,0,0.57
10,10.0,3,2.0,3.0,8.66,1,0.64
33,11.3,3,4.0,3.0,9.32,1,0.85
29,11.2,3,2.5,2.0,8.71,1,0.78
36,11.2,3,3.5,3.0,9.1,1,0.84
43,11.8,5,5.0,5.0,9.35,1,0.92
49,11.4,5,4.0,4.5,9.76,1,0.96
13,10.5,5,5.0,4.5,8.65,0,0.77
19,10.5,5,3.5,3.5,8.56,0,0.71
33,11.2,5,4.0,4.5,8.78,0,0.79
43,11.3,5,4.0,4.0,9.28,1,0.89
24,10.9,4,3.5,4.0,8.77,1,0.82
22,10.3,3,5.0,4.0,8.45,0,0.76
26,10.0,2,1.5,3.0,8.16,1,0.71
36,11.6,2,4.5,3.0,9.08,1,0.8
28,10.9,1,3.5,3.5,9.12,0,0.78
39,11.0,2,4.0,3.0,9.15,1,0.84
42,11.8,2,4.5,3.5,9.36,1,0.9
41,11.5,5,4.0,3.5,9.44,1,0.92
50,12.0,4,4.5,4.0,9.92,1,0.97
35,11.2,2,3.0,3.5,8.96,1,0.8
30,11.3,2,2.0,2.5,8.64,1,0.81
25,10.5,3,2.0,2.5,8.48,0,0.75
36,11.4,3,3.0,3.0,9.11,1,0.83
49,11.6,4,4.0,3.5,9.8,1,0.96
21,10.6,2,3.5,3.0,8.26,1,0.79
44,11.4,4,4.0,4.0,9.43,1,0.93
42,11.6,5,5.0,5.0,9.28,1,0.94
31,11.2,5,5.0,5.0,9.06,1,0.86
34,10.5,3,3.0,4.0,8.75,0,0.79
36,10.8,3,3.0,3.5,8.89,0,0.8
22,10.9,3,3.0,3.0,8.69,0,0.77
25,10.5,3,2.0,2.5,8.34,0,0.7
19,10.4,2,2.0,2.5,8.26,0,0.65
16,10.6,2,2.0,2.5,8.14,0,0.61
7,10.0,1,1.5,2.0,7.9,0,0.52
25,10.3,1,1.5,2.0,7.86,0,0.57
8,9.9,1,1.5,3.0,7.46,0,0.53
28,10.9,3,3.0,3.0,8.5,0,0.67
27,10.5,3,3.5,3.0,8.56,0,0.68
39,11.1,4,4.5,4.0,9.01,1,0.81
32,11.0,5,4.5,4.0,8.97,0,0.78
12,10.2,3,3.5,5.0,8.33,0,0.65
23,10.2,3,2.0,3.0,8.27,0,0.64
3,9.7,2,2.0,4.0,7.8,1,0.64
21,9.9,2,2.5,3.0,7.98,0,0.65
22,10.1,2,2.5,3.5,8.04,1,0.68
44,11.7,5,4.0,4.5,9.07,1,0.89
32,11.0,4,4.0,5.0,9.13,1,0.86
33,11.3,4,4.0,4.5,9.23,1,0.89
31,11.1,4,4.0,4.0,8.97,1,0.87
30,11.1,4,4.5,3.5,8.87,1,0.85
39,11.9,4,4.5,4.5,9.16,1,0.9
29,11.0,3,3.5,3.5,9.04,0,0.82
19,10.8,3,2.5,3.0,8.12,0,0.72
17,10.2,3,3.0,3.0,8.27,0,0.73
10,10.4,3,3.5,3.0,8.16,0,0.71
15,10.7,2,2.5,2.5,8.42,0,0.71
9,10.0,2,3.0,3.5,7.88,0,0.68
24,11.0,3,4.0,4.0,8.8,0,0.75
26,10.6,2,2.5,4.0,8.32,0,0.72
37,11.3,4,4.5,4.5,9.11,1,0.89
27,10.7,3,3.5,3.0,8.68,1,0.84
45,11.8,5,4.5,3.5,9.44,1,0.93
41,11.5,5,4.5,3.5,9.36,1,0.93
34,11.2,5,5.0,5.0,9.08,1,0.88
34,11.1,5,4.5,4.0,9.16,1,0.9
33,11.0,5,4.0,5.0,8.98,1,0.87
32,11.4,5,4.5,4.0,8.94,1,0.86
46,11.8,5,4.5,5.0,9.53,1,0.94
26,10.9,3,3.5,3.0,8.76,0,0.77
17,10.7,2,3.0,3.5,8.52,1,0.78
16,10.5,2,3.0,2.5,8.26,0,0.73
20,10.6,2,3.5,2.5,8.33,0,0.73
21,10.4,3,4.5,4.5,8.43,0,0.7
23,10.7,3,4.0,4.5,8.69,0,0.72
27,10.3,3,2.5,3.0,8.54,1,0.73
25,11.0,2,3.5,3.0,8.46,1,0.72
50,12.0,5,4.5,4.5,9.91,1,0.97
44,12.0,5,4.0,5.0,9.87,1,0.97
8,10.5,3,3.5,4.0,8.54,0,0.69
5,9.9,2,2.5,3.0,7.65,0,0.57
25,9.9,2,3.5,3.0,7.89,0,0.63
20,10.2,3,3.5,4.0,8.02,1,0.66
15,10.6,2,3.0,3.0,8.16,0,0.64
11,10.4,3,3.5,4.0,8.12,1,0.68
35,10.8,4,4.5,4.0,9.06,1,0.79
38,11.0,4,5.0,4.0,9.14,1,0.82
48,12.0,4,5.0,5.0,9.66,1,0.95
43,11.9,5,5.0,4.5,9.78,1,0.96
41,11.7,4,4.5,5.0,9.42,1,0.94
40,11.6,5,5.0,4.5,9.36,1,0.93
32,11.2,4,4.5,4.5,9.26,1,0.91
31,10.9,4,4.0,4.0,9.13,1,0.85
34,11.0,4,3.0,3.5,8.97,1,0.84
22,10.4,3,3.5,3.5,8.42,0,0.74
23,10.3,3,4.0,4.0,8.75,0,0.76
26,11.0,3,3.5,4.0,8.56,0,0.75
34,11.3,4,4.5,4.0,8.79,0,0.76
18,10.9,2,3.0,4.0,8.45,0,0.71
15,10.5,2,3.0,2.0,8.23,0,0.67
6,9.9,2,2.5,2.5,8.03,0,0.61
16,11.0,2,3.5,4.0,8.45,0,0.63
22,11.0,2,3.5,3.0,8.53,0,0.64
28,11.2,3,4.0,3.5,8.67,0,0.71
34,11.1,4,3.0,3.0,9.01,1,0.82
23,10.4,3,4.0,4.5,8.65,0,0.73
29,10.6,3,3.5,2.5,8.33,1,0.74
22,10.7,2,2.5,3.5,8.27,0,0.69
14,10.0,2,2.5,3.5,8.07,0,0.64
40,11.3,5,5.0,4.0,9.31,1,0.91
36,11.1,5,4.5,4.0,9.23,1,0.88
35,11.2,4,4.0,4.5,9.17,1,0.85
39,11.4,5,4.5,5.0,9.19,1,0.86
20,10.4,3,2.0,3.5,8.37,0,0.7
9,10.0,1,1.5,2.0,7.89,0,0.59
6,10.1,1,2.5,3.0,7.68,0,0.6
27,10.3,2,2.5,2.0,8.15,0,0.65
34,11.5,3,3.5,3.0,8.76,1,0.7
35,11.4,3,3.5,3.0,9.04,1,0.76
24,10.7,2,2.5,4.0,8.56,0,0.63
38,11.0,4,4.0,2.5,9.02,1,0.81
26,10.5,3,3.0,3.5,8.73,0,0.72
21,10.4,2,2.5,3.5,8.48,0,0.71
34,11.0,3,3.5,4.0,8.87,1,0.8
31,11.1,3,3.5,4.0,8.83,1,0.77
30,10.4,3,3.0,2.5,8.57,1,0.74
26,9.9,2,2.5,3.0,9.0,0,0.7
28,10.0,2,2.5,3.5,8.54,1,0.71
45,11.5,4,4.5,4.5,9.68,1,0.93
31,11.4,4,4.0,5.0,9.12,0,0.85
17,11.0,4,4.0,4.5,8.37,0,0.79
19,9.9,3,4.0,4.0,8.56,0,0.76
34,10.0,3,4.0,5.0,8.64,1,0.78
36,10.2,4,5.0,5.0,8.76,1,0.77
41,11.9,4,5.0,4.5,9.34,1,0.9
37,10.8,5,5.0,3.5,9.13,1,0.87
22,10.4,3,3.5,4.0,8.09,0,0.71
18,10.3,2,2.5,4.0,8.36,1,0.7
34,11.1,3,2.5,1.5,8.79,1,0.7
35,11.0,2,3.0,2.5,8.76,1,0.75
23,10.2,3,2.5,2.5,8.68,0,0.71
22,10.5,2,2.0,2.5,8.45,0,0.72
24,10.7,3,3.0,3.5,8.17,1,0.73
37,11.3,4,4.5,5.0,9.14,0,0.83
18,10.8,4,4.5,5.0,8.34,0,0.77
16,10.5,2,2.5,3.0,8.22,1,0.72
9,9.6,2,1.5,2.0,7.86,0,0.54
4,9.5,1,1.5,1.5,7.64,0,0.49
22,9.9,1,1.0,1.5,8.01,1,0.52
25,10.0,1,2.0,2.5,7.95,0,0.58
32,11.0,3,3.5,3.0,8.96,1,0.78
39,11.3,5,5.0,4.5,9.45,1,0.89
30,10.1,2,2.5,3.0,8.62,0,0.7
18,10.3,2,3.0,3.5,8.49,0,0.66
14,10.2,2,3.0,4.0,8.73,0,0.67
21,10.2,3,4.5,4.0,8.64,1,0.68
27,11.0,3,4.0,4.5,9.11,1,0.8
22,10.6,3,4.0,3.5,8.79,1,0.81
31,11.1,3,2.5,3.0,8.9,1,0.8
50,11.2,4,5.0,4.5,9.66,1,0.94
41,11.6,5,4.0,4.0,9.26,1,0.93
46,11.8,5,4.5,4.0,9.19,1,0.92
34,11.4,5,5.0,4.5,9.08,1,0.89
24,10.4,4,5.0,5.0,9.02,0,0.82
23,10.9,3,4.0,3.5,9.0,0,0.79
17,10.5,2,2.5,3.0,7.65,0,0.58
10,10.2,2,1.5,2.0,7.87,0,0.56
12,9.9,2,1.0,2.0,7.97,0,0.56
22,9.8,1,3.5,3.0,8.18,1,0.64
26,10.1,2,2.5,2.0,8.32,1,0.61
27,10.0,2,3.0,2.5,8.57,0,0.68
20,10.7,3,3.5,3.5,8.67,0,0.76
30,12.0,3,4.0,4.5,9.11,0,0.86
40,11.4,3,4.5,4.5,9.24,1,0.9
15,11.2,3,3.0,3.5,8.65,0,0.71
19,10.6,2,2.5,2.5,8.0,0,0.62
29,10.8,2,2.5,3.0,8.76,0,0.66
32,10.5,2,3.0,3.0,8.45,1,0.65
33,10.7,3,3.5,3.5,8.55,1,0.73
23,10.6,2,2.5,2.0,8.43,0,0.62
31,10.9,3,3.5,3.5,8.8,1,0.74
33,11.0,3,4.0,3.5,9.1,1,0.79
35,11.2,4,4.0,4.0,9.0,1,0.8
22,10.8,3,3.5,3.0,8.53,0,0.69
18,11.0,4,3.5,3.0,8.6,0,0.7
30,10.4,3,3.0,3.5,8.74,1,0.76
38,10.8,4,4.5,4.0,9.18,1,0.84
21,10.7,4,4.5,4.5,9.0,1,0.78
11,10.0,3,3.5,3.0,8.04,0,0.67
15,10.5,2,3.0,4.0,8.13,0,0.66
18,10.4,2,2.5,3.0,8.07,0,0.65
8,10.1,2,1.5,2.0,7.86,0,0.54
10,9.9,1,1.0,2.5,8.01,0,0.58
34,11.1,3,2.5,2.0,8.8,1,0.79
37,11.3,4,3.5,3.0,8.69,1,0.8
27,10.6,3,4.0,3.5,8.5,1,0.75
33,10.4,3,4.0,4.0,8.44,1,0.73
24,10.7,2,2.5,4.0,8.27,0,0.72
15,10.2,2,2.0,2.5,8.18,0,0.62
25,10.4,3,3.0,2.5,8.33,0,0.67
36,11.6,3,3.5,4.0,9.14,1,0.81
9,10.0,3,2.0,2.0,8.02,0,0.63
5,10.1,2,2.5,2.0,7.86,0,0.69
34,11.2,4,4.0,3.5,8.77,1,0.8
7,9.6,2,2.5,1.5,7.89,0,0.43
37,11.3,3,3.5,3.0,8.66,1,0.8
21,10.5,2,3.0,2.0,8.12,1,0.73
18,10.6,3,3.5,2.5,8.21,1,0.75
29,10.8,3,3.0,3.5,8.54,1,0.71
22,10.7,4,4.5,4.0,8.65,1,0.73
35,11.1,4,4.0,4.5,9.11,1,0.83
29,11.0,3,3.0,2.5,8.79,0,0.72
42,11.8,5,5.0,5.0,9.47,1,0.94
33,10.8,5,4.0,4.0,8.74,1,0.81
34,10.7,5,3.5,4.0,8.66,1,0.81
22,10.7,3,3.0,3.0,8.46,1,0.75
36,11.0,3,3.5,3.5,8.76,1,0.79
18,10.6,3,3.0,3.0,8.24,0,0.58
15,10.3,2,2.5,3.5,8.13,0,0.59
5,9.6,2,1.5,2.0,7.34,0,0.47
26,9.8,1,1.5,2.0,7.43,0,0.49
14,9.7,2,1.5,2.0,7.64,0,0.47
9,9.4,1,1.0,1.0,7.34,0,0.42
12,9.9,1,2.0,2.0,7.25,0,0.57
23,10.1,3,2.5,3.0,8.04,0,0.62
28,10.7,3,3.0,3.5,8.27,1,0.74
35,11.0,4,3.5,4.0,8.67,1,0.73
13,10.0,2,3.0,3.5,8.06,1,0.64
10,10.2,3,3.5,2.5,8.17,0,0.63
7,9.8,2,2.5,3.0,7.67,0,0.59
27,10.6,2,2.0,3.5,8.12,0,0.73
37,10.9,3,3.5,4.0,8.77,1,0.79
11,10.4,2,3.5,3.5,7.89,1,0.68
24,10.5,2,2.5,2.0,7.64,0,0.7
31,10.7,2,2.0,1.5,8.44,0,0.81
32,11.0,3,4.0,5.0,8.64,1,0.85
44,11.6,4,4.0,3.5,9.54,1,0.93
48,11.5,5,4.5,5.0,9.23,1,0.91
16,10.3,2,2.5,3.0,8.36,0,0.69
23,10.2,3,3.5,4.0,8.9,1,0.77
40,11.4,4,4.5,3.0,9.17,1,0.86
30,10.4,3,3.5,4.5,8.34,1,0.74
21,9.8,1,1.0,2.5,7.46,0,0.57
8,9.2,1,2.0,2.0,7.88,0,0.51
11,9.8,1,2.0,3.0,8.03,1,0.67
20,10.3,2,2.5,2.5,8.24,0,0.72
34,11.0,3,3.5,3.0,9.22,1,0.89
46,11.9,4,4.5,4.0,9.62,1,0.95
31,10.9,3,3.0,3.0,8.54,1,0.79
25,10.5,2,2.0,2.5,7.65,0,0.39
14,10.1,2,2.0,2.5,7.66,0,0.38
7,9.6,2,2.5,2.0,7.43,0,0.34
0,10.0,1,1.5,2.0,7.56,0,0.47
13,9.8,1,2.0,2.5,7.65,0,0.56
21,9.9,1,2.5,3.0,8.43,1,0.71
32,10.4,3,3.5,4.0,8.84,1,0.78
29,10.5,3,3.0,3.5,8.67,1,0.73
34,11.0,4,4.5,4.0,9.15,1,0.82
10,10.0,3,3.0,3.5,8.26,0,0.62
50,11.3,4,5.0,5.0,9.74,1,0.96
45,11.7,5,5.0,5.0,9.82,1,0.96
12,10.1,2,2.5,3.5,7.96,0,0.46
17,10.5,2,2.0,3.5,8.1,0,0.53
6,9.7,2,1.5,2.0,7.8,0,0.49
30,10.8,3,3.5,4.0,8.44,1,0.76
24,10.2,2,2.0,2.5,8.24,0,0.64
28,10.6,3,2.0,3.0,8.65,0,0.71
36,11.2,4,4.0,3.5,9.12,1,0.84
27,10.4,2,3.0,3.0,8.76,0,0.77
39,11.1,4,4.5,4.0,9.23,1,0.89
34,11.0,3,3.5,3.5,9.04,1,0.82
35,10.7,3,3.0,3.5,9.11,1,0.84
40,11.6,4,5.0,4.5,9.45,1,0.91
22,10.3,3,3.5,4.0,8.78,0,0.67
43,11.7,4,5.0,4.0,9.66,1,0.95
